,Mean Interarrival,Mean Wait Time,Max Wait Time,Mean Service Time,Mean System Time,Overtime Jobs
904,0.03382930485441172,2.137311144604566e-05,0.004342674802312985,0.036973090054089,0.036994463165535035,0
905,0.030949556080346136,4.0739635996077776e-06,0.00121186998188616,0.03665752333387019,0.036661597297469824,1
906,0.032527584784902135,3.0981776640320956e-05,0.005365984201315399,0.037291384486086376,0.037322366262726676,0
907,0.03319377646589222,0.0,0.0,0.03886852766529742,0.038868527665297414,2
908,0.034198547186315285,1.5091457160958488e-05,0.00439161403383892,0.03780024814039953,0.0378153395975605,0
909,0.034721154914270067,2.8561619768287096e-05,0.004007967572922766,0.038589271011032364,0.03861783263080065,0
910,0.03609817753060919,7.361738690448195e-05,0.009006662941109411,0.037219796073120474,0.03729341346002496,0
911,0.03275714682874194,3.400927978838403e-05,0.007498380753142797,0.037735102330208034,0.03776911160999641,0
912,0.03345000887632533,2.3294315353946428e-05,0.0068252343987063036,0.037318384490338655,0.0373416788056926,0
913,0.03545147496923855,1.989662528685309e-05,0.0048912151050594654,0.03853422626720211,0.03855412289248899,0
914,0.0324374169666669,1.126449558886721e-05,0.0018311277566400719,0.03715267445149564,0.037163938947084495,1
915,0.03470933834016789,0.000124279251725269,0.014396524853801829,0.03752497774227707,0.03764925699400233,2
916,0.03053466377006064,4.753992180484103e-06,0.0011313991494148468,0.03779170021383818,0.037796454206018654,1
917,0.035546280425757054,6.421757809522382e-06,0.0015437953763832724,0.04051182196210468,0.040518243719914214,0
918,0.03474350392408245,1.0564627170844464e-05,0.003032047998032361,0.0382120995633077,0.03822266419047856,0
919,0.035231806170911886,7.026703756627981e-05,0.007602466349020037,0.03894362705043012,0.03901389408799639,0
920,0.030650433070916566,3.304188299020657e-05,0.007729550292201459,0.03761358663677808,0.03764662851976828,0
921,0.033192811023243694,2.8212282781592268e-05,0.004422574819527014,0.03976824504884084,0.039796457331622424,0
922,0.0359625975247616,0.00010872568947193527,0.015291441137029516,0.039408952771221334,0.03951767846069324,0
923,0.03627547971835543,0.0,0.0,0.039314183630292834,0.03931418363029286,1
924,0.03308282148029002,9.141934298343144e-05,0.006192501610342127,0.038754543265478204,0.03884596260846165,0
925,0.03545095693746998,5.575414138911875e-07,0.00015722667871731488,0.03904556510835694,0.03904612264977081,0
926,0.03421790837461983,3.208075960726994e-05,0.0035796989303360505,0.0380317668283264,0.03806384758793368,1
927,0.03228902493969836,3.972203356862149e-06,0.0010869061978089345,0.03551371385137557,0.03551768605473242,0
928,0.03494584434721266,1.2366509278469905e-05,0.003512088635085453,0.03959164475965374,0.03960401126893221,0
929,0.03173721790578659,1.125111425436869e-05,0.001545375163662932,0.03889784218427298,0.03890909329852731,0
930,0.03355552837496018,5.0645813181694785e-05,0.006442435857731965,0.03849256567436531,0.03854321148754698,0
931,0.034805151018454474,1.283590066308732e-05,0.00224125558490762,0.039547298837226894,0.03956013473788999,1
932,0.03183170670466152,2.7543877841688355e-05,0.004511338628121031,0.03820427313885438,0.03823181701669609,1
933,0.032403662451376804,0.00015715064895404187,0.02193922145681171,0.03808136062841045,0.03823851127736449,0
934,0.035173114927444044,0.0,0.0,0.03802236314743415,0.03802236314743415,0
935,0.033128915898857664,1.1128585672504925e-05,0.0033497042874239824,0.03696278552306594,0.03697391410873845,0
936,0.03326715407845391,7.974888953571142e-05,0.015696719624591182,0.03735111011437747,0.03743085900391318,0
937,0.03402529678085681,2.3038723442485353e-05,0.004669407045103213,0.03738494886877786,0.037407987592220346,0
938,0.030294797006624626,9.576314263240872e-05,0.010690787214151953,0.038318607303679926,0.03841437044631233,0
939,0.03526542446763044,8.417832782135028e-06,0.002382246677344213,0.038823377768740897,0.038831795601523035,0
940,0.030016017937328866,0.0,0.0,0.035737777505033305,0.03573777750503328,0
941,0.033774743825251356,8.16390683462308e-05,0.009983658952102736,0.036999590683271036,0.037081229751617296,0
942,0.03452771275845654,0.00010262944640715997,0.016880615955366274,0.03901379830971915,0.03911642775612634,0
943,0.03496221613926453,0.00010475733583032122,0.014298811767483155,0.03830370461223493,0.03840846194806525,0
944,0.030881477406142586,6.567288112087142e-05,0.009697327626702279,0.0387270238606449,0.0387926967417658,1
945,0.03134500597785683,9.754818304082029e-05,0.01032437885854609,0.03684331923342691,0.036940867416467724,1
946,0.030021821846204288,6.043867036464267e-05,0.007669245494988708,0.037190295334769315,0.03725073400513395,1
947,0.03730859982348385,0.0,0.0,0.03797960645959517,0.03797960645959515,1
948,0.037027996078667316,2.1382932740520945e-05,0.005730625974459613,0.03726431817094515,0.03728570110368567,0
949,0.03504431621996561,5.715352628295858e-06,0.0012629707957489966,0.03816708198447113,0.03817279733709937,1
950,0.03200013827104192,1.4423585383868131e-05,0.0016393404957053548,0.037331449238533904,0.03734587282391777,0
951,0.034440199696017595,3.638081917120313e-05,0.0037483976292170818,0.038746426583937274,0.03878280740310847,1
952,0.03354510362230665,3.6037408252839386e-05,0.006933765357913124,0.03863715895863707,0.03867319636688992,0
953,0.0325431424251384,2.242492594867196e-05,0.0034521417344333116,0.034910288772982426,0.034932713698931084,0
954,0.035114511403699825,1.3216451507558035e-05,0.0037534722281464816,0.03794810152770036,0.03796131797920792,0
955,0.033853174804270095,0.0001945230632559283,0.022201525234152975,0.03646721435198633,0.03666173741524224,0
956,0.03591760585992217,6.159981786294934e-06,0.0017124749365899916,0.039466220800866855,0.039472380782653145,1
957,0.03255512991734479,5.77166716417116e-05,0.010860727843541085,0.03703849577720237,0.037096212448844076,0
958,0.03365275925574157,5.618763410571024e-05,0.008642621319295607,0.03647320269499055,0.03652939032909627,0
959,0.03467733385635105,1.803818166850441e-05,0.003441842505967685,0.03857836778618309,0.03859640596785164,0
960,0.03256184062591976,3.615761259580517e-05,0.0058316626547343375,0.03893007456701109,0.03896623217960689,0
961,0.0326885186093437,4.76898237448383e-05,0.006727422114563897,0.03613826169639971,0.03618595152014456,0
962,0.03689144437005867,8.143785548026197e-05,0.008890320101134996,0.038120875452434845,0.038202313307915146,0
963,0.03278636428793799,4.645684691167228e-05,0.00786911755331765,0.03730758512242506,0.03735404196933675,1
964,0.03305524160709855,7.383287916501502e-06,0.001136768239111241,0.03657199004046781,0.0365793733283843,0
965,0.03242800692788047,9.032746100403408e-06,0.0026439061275063125,0.03716109407999264,0.037170126826093046,1
