,Interarrival,Arrival Time,Initial Service Time,Wait Time,Service Time,Final Time,System Time
0,0.010026880780879759,0.010026880780879759,0.010026880780879759,0.0,0.047345694841104936,0.057372575621984695,0.047345694841104936
1,0.026384989537731333,0.036411870318611095,0.036411870318611095,0.0,0.022675387686508335,0.05908725800511943,0.022675387686508335
2,0.00961572593540685,0.04602759625401794,0.04602759625401794,0.0,0.006308696690332496,0.05233629294435044,0.006308696690332495
3,0.0063630226255361275,0.05239061887955407,0.05239061887955407,0.0,0.09918613893333512,0.1515767578128892,0.09918613893333514
4,0.044653274612483175,0.09704389349203724,0.09704389349203724,0.0,0.0012429960163460323,0.09828688950838327,0.0012429960163460319
5,0.054570073932863415,0.15161396742490066,0.15161396742490066,0.0,0.07560450488359917,0.22721847230849984,0.07560450488359918
6,0.02057167860702886,0.1721856460319295,0.1721856460319295,0.0,0.02063150533675243,0.19281715136868194,0.020631505336752426
7,0.06737403438330457,0.23955968041523407,0.23955968041523407,0.0,0.0010802532474395892,0.24063993366267367,0.0010802532474395998
8,0.0049005600156550285,0.2444602404308891,0.2444602404308891,0.0,0.06842370075357783,0.31288394118446694,0.06842370075357784
9,0.06932022198859979,0.31378046241948887,0.31378046241948887,0.0,0.02332108660299526,0.3371015490224841,0.023321086602995256
10,0.026080619563902663,0.33986108198339154,0.33986108198339154,0.0,0.07189788153886224,0.4117589635222538,0.07189788153886223
11,0.007588113846243597,0.3474491958296351,0.3474491958296351,0.0,0.006978101526656207,0.35442729735629136,0.006978101526656233
12,0.0074405708905385575,0.3548897667201737,0.3548897667201737,0.0,0.14792509369025167,0.5028148604104253,0.14792509369025164
13,0.049918082737237975,0.40480784945741166,0.40480784945741166,0.0,0.018433483182480195,0.42324133263989183,0.01843348318248017
14,0.010212696572996179,0.41502054603040783,0.41502054603040783,0.0,0.012739415727490346,0.42775996175789816,0.012739415727490322
15,0.0023325074110289883,0.4173530534414368,0.4173530534414368,0.0,0.077270062615189,0.4946231160566258,0.07727006261518898
16,0.0187369691808992,0.436090022622336,0.436090022622336,0.0,0.020828740685070325,0.45691876330740633,0.020828740685070346
17,0.030577825341768616,0.4666678479641046,0.4666678479641046,0.0,0.00022950333025853465,0.4668973512943631,0.000229503330258507
18,0.003910260530328356,0.47057810849443293,0.47057810849443293,0.0,0.02152234817907423,0.49210045667350716,0.021522348179074224
19,0.03045472023962526,0.5010328287340582,0.5010328287340582,0.0,0.0036458342919586566,0.5046786630260168,0.0036458342919586384
20,0.022078126679186894,0.523110955413245,0.523110955413245,0.0,0.031590989462962356,0.5547019448762074,0.03159098946296235
21,0.021767688088586347,0.5448786435018314,0.5448786435018314,0.0,0.04778025162829236,0.5926588951301237,0.04778025162829236
22,0.029904929050088364,0.5747835725519197,0.5747835725519197,0.0,0.08051474750485754,0.6552983200567772,0.08051474750485754
23,0.01897144964982903,0.5937550222017487,0.5937550222017487,0.0,0.003252647957324582,0.5970076701590733,0.003252647957324606
24,0.005136108091428425,0.5988911302931771,0.5988911302931771,0.0,0.04154132102365856,0.6404324513168357,0.041541321023658595
25,0.022128401168532503,0.6210195314617096,0.6210195314617096,0.0,0.04922765757506317,0.6702471890367728,0.0492276575750632
26,0.011400044994677791,0.6324195764563875,0.6324195764563875,0.0,0.0017926800108842697,0.6342122564672718,0.0017926800108842844
27,0.044752980315783564,0.677172556772171,0.677172556772171,0.0,0.001768037587684724,0.6789405943598558,0.0017680375876847343
28,0.026004950580129558,0.7031775073523006,0.7031775073523006,0.0,0.030413450621244696,0.7335909579735452,0.030413450621244675
29,0.03244487780660025,0.7356223851589008,0.7356223851589008,0.0,0.1255741500371646,0.8611965351960653,0.12557415003716454
30,0.024047909458181072,0.7596702946170818,0.7596702946170818,0.0,0.05736461318114291,0.8170349077982247,0.05736461318114294
31,0.05123724878739542,0.8109075434044772,0.8109075434044772,0.0,0.00011894868872984171,0.8110264920932071,0.00011894868872985853
32,0.006268292235428945,0.8171758356399061,0.8171758356399061,0.0,0.031794865227557846,0.848970700867464,0.03179486522755781
33,0.026399642787101586,0.8435754784270078,0.8435754784270078,0.0,0.003090749159320787,0.8466662275863286,0.003090749159320838
34,0.027854790701660786,0.8714302691286685,0.8714302691286685,0.0,0.04389228004005173,0.9153225491687202,0.043892280040051745
35,0.019755154639439654,0.8911854237681082,0.8911854237681082,0.0,0.002889393042119176,0.8940748168102274,0.002889393042119215
36,0.00816454922752985,0.899349972995638,0.899349972995638,0.0,0.021699736882253535,0.9210497098778916,0.021699736882253573
37,0.01266239144463154,0.9120123644402696,0.9120123644402696,0.0,0.14451415597469577,1.0565265204149654,0.14451415597469586
38,0.02015302010157559,0.9321653845418452,0.9321653845418452,0.0,0.007896467340354514,0.9400618518821997,0.00789646734035454
39,0.03511375018196529,0.9672791347238104,0.9672791347238104,0.0,0.03253861052742701,0.9998177452512375,0.032538610527427014
40,0.002625420233617601,0.969904554957428,0.969904554957428,0.0,0.035393325494776515,1.0052978804522046,0.035393325494776584
41,0.0425001827394116,1.0124047376968397,1.0124047376968397,0.0,0.014161757560714383,1.0265664952575542,0.014161757560714472
42,0.03423075021126517,1.0466354879081048,1.0466354879081048,0.0,0.03776370357208325,1.084399191480188,0.03776370357208325
43,0.05193246216898694,1.0985679500770917,1.0985679500770917,0.0,0.061072344594260496,1.1596402946713522,0.061072344594260475
44,0.02466880966672396,1.1232367597438158,1.1232367597438158,0.0,0.008156900018718296,1.131393659762534,0.008156900018718272
